frame,timestamp,CMC_pos_x,CMC_pos_y,CMC_pos_z,CMC_rot_x,CMC_rot_y,CMC_rot_z,CMC_rot_w,MCP_pos_x,MCP_pos_y,MCP_pos_z,MCP_rot_x,MCP_rot_y,MCP_rot_z,MCP_rot_w,IP_pos_x,IP_pos_y,IP_pos_z,IP_rot_x,IP_rot_y,IP_rot_z,IP_rot_w,Tip_pos_x,Tip_pos_y,Tip_pos_z,Tip_rot_x,Tip_rot_y,Tip_rot_z,Tip_rot_w
1,1765942292826,0.0241747,0.0172301,-0.00417916,0,0,0,1,0.0419862,-0,0,0,0,0,1,0.0299928,-0,0,0,0,0,1,0.0252377,-0,0,0,0,0,1
2,1765942292860,0.0241747,0.0172301,-0.00417916,0.836605,-0.277904,-0.0497428,-0.469453,0.0419862,-0,0,2.04891e-08,0.0211018,5.96046e-08,0.999777,0.0299928,-0,0,4.65661e-08,0.518702,-5.96047e-08,0.854955,0.0252377,-0,0,0,0,0,1
3,1765942292893,0.0241747,0.0172301,-0.00417916,0.835036,-0.278114,-0.0484681,-0.472249,0.0419862,-0,0,2.23517e-08,0.0209894,-1.19209e-07,0.99978,0.0299928,-0,0,-2.42144e-08,0.519222,1.49012e-07,0.85464,0.0252377,-0,0,0,0,0,1
4,1765942292926,0.0241747,0.0172301,-0.00417916,0.833793,-0.277417,-0.0470568,-0.474989,0.0419862,-0,0,7.82311e-08,0.02111,5.96046e-08,0.999777,0.0299928,-0,0,1.02445e-07,0.523496,1.49012e-08,0.852028,0.0252377,-0,0,0,0,0,1
5,1765942292959,0.0241747,0.0172301,-0.00417916,0.835671,-0.277799,-0.0472305,-0.471434,0.0419862,-0,0,-4.65661e-08,0.020927,1.19209e-07,0.999781,0.0299928,-0,0,5.58793e-08,0.52007,-1.93715e-07,0.854123,0.0252377,-0,0,0,0,0,1
6,1765942292993,0.0241747,0.0172301,-0.00417916,0.837847,-0.277133,-0.047285,-0.467947,0.0419862,-0,0,7.63684e-08,0.0209586,4.47035e-08,0.99978,0.0299928,-0,0,2.98023e-08,0.520106,2.98023e-08,0.854102,0.0252377,-0,0,0,0,0,1
7,1765942293026,0.0241747,0.0172301,-0.00417916,0.839018,-0.276768,-0.0470005,-0.46609,0.0419862,-0,0,8.9407e-08,0.0210905,-1.49012e-08,0.999778,0.0299928,-0,0,2.6077e-08,0.515998,-7.45058e-08,0.85659,0.0252377,-0,0,0,0,0,1
8,1765942293059,0.0241747,0.0172301,-0.00417916,0.84935,-0.271732,-0.0488616,-0.449865,0.0419862,-0,0,-9.49949e-08,0.0206288,-4.47035e-08,0.999787,0.0299928,-0,0,1.67638e-08,0.480313,4.47035e-08,0.877097,0.0252377,-0,0,0,0,0,1
9,1765942293093,0.0241747,0.0172301,-0.00417916,0.881261,-0.255842,-0.0643347,-0.392155,0.0419862,-0,0,7.26432e-08,0.0180867,8.9407e-08,0.999836,0.0299928,-0,0,7.63685e-08,0.368985,-1.49012e-08,0.929435,0.0252377,-0,0,0,0,0,1
10,1765942293126,0.0241747,0.0172301,-0.00417916,0.915514,-0.224367,-0.0946444,-0.320214,0.0419862,-0,0,-7.82311e-08,0.0112177,-7.45058e-08,0.999937,0.0299928,-0,0,1.30385e-08,0.199364,7.45058e-08,0.979925,0.0252377,-0,0,0,0,0,1
