frame,timestamp,CMC_pos_x,CMC_pos_y,CMC_pos_z,CMC_rot_x,CMC_rot_y,CMC_rot_z,CMC_rot_w,MCP_pos_x,MCP_pos_y,MCP_pos_z,MCP_rot_x,MCP_rot_y,MCP_rot_z,MCP_rot_w,IP_pos_x,IP_pos_y,IP_pos_z,IP_rot_x,IP_rot_y,IP_rot_z,IP_rot_w,Tip_pos_x,Tip_pos_y,Tip_pos_z,Tip_rot_x,Tip_rot_y,Tip_rot_z,Tip_rot_w
21,1765888719877,0.0241747,0.0172301,-0.00417916,0.952282,-0.0699628,-0.12572,-0.269182,0.0419862,-0,0,-8.47503e-08,-0.0040282,-2.98023e-08,0.999992,0.0299928,-0,0,5.86733e-08,-0.0590966,4.47035e-08,0.998252,0.0252377,-0,0,0,0,0,1
22,1765888719910,0.0241747,0.0172301,-0.00417916,0.941646,0.052599,-0.154781,-0.294244,0.0419862,-0,0,-3.30619e-08,-0.0112035,1.86265e-09,0.999937,0.0299928,-0,0,-7.45058e-09,-0.174486,3.91155e-08,0.98466,0.0252377,-0,0,0,0,0,1
23,1765888719944,0.0241747,0.0172301,-0.00417916,0.915481,0.150829,-0.178061,-0.327778,0.0419862,-0,0,-4.28408e-08,-0.012617,1.11759e-07,0.99992,0.0299928,-0,0,-3.35276e-08,-0.272528,-6.70552e-08,0.962148,0.0252377,-0,0,0,0,0,1
24,1765888719977,0.0241747,0.0172301,-0.00417916,0.892072,0.190588,-0.179263,-0.368442,0.0419862,-0,0,9.31323e-08,-0.0114542,-2.98023e-08,0.999934,0.0299928,-0,0,-1.49012e-08,-0.327682,-2.98023e-08,0.944788,0.0252377,-0,0,0,0,0,1
25,1765888720010,0.0241747,0.0172301,-0.00417916,0.861075,0.214256,-0.170557,-0.428432,0.0419862,-0,0,2.98023e-08,-0.00972283,7.45058e-08,0.999953,0.0299928,-0,0,-8.19564e-08,-0.370598,-2.98023e-08,0.928794,0.0252377,-0,0,0,0,0,1
26,1765888720043,0.0241747,0.0172301,-0.00417916,0.849478,0.225377,-0.168499,-0.446319,0.0419862,-0,0,-3.35276e-08,-0.00938007,-2.98023e-08,0.999956,0.0299928,-0,0,-5.21541e-08,-0.385769,7.45058e-08,0.922596,0.0252377,-0,0,0,0,0,1
27,1765888720077,0.0241747,0.0172301,-0.00417916,0.845149,0.229683,-0.171779,-0.451065,0.0419862,-0,0,-7.07805e-08,-0.0089448,-1.49012e-08,0.99996,0.0299928,-0,0,5.96047e-08,-0.400224,-1.49012e-08,0.916417,0.0252377,-0,0,0,0,0,1
28,1765888720110,0.0241747,0.0172301,-0.00417916,0.843699,0.230976,-0.172435,-0.452866,0.0419862,-0,0,-1.49012e-08,-0.00915754,5.96046e-08,0.999958,0.0299928,-0,0,-6.70552e-08,-0.402735,-8.9407e-08,0.915317,0.0252377,-0,0,0,0,0,1
29,1765888720143,0.0241747,0.0172301,-0.00417916,0.845169,0.225616,-0.16967,-0.45387,0.0419862,-0,0,2.98023e-08,-0.009592,-4.47035e-08,0.999954,0.0299928,-0,0,2.98023e-08,-0.3924,-8.9407e-08,0.919795,0.0252377,-0,0,0,0,0,1
30,1765888720177,0.0241747,0.0172301,-0.00417916,0.863387,0.20081,-0.163856,-0.432886,0.0419862,-0,0,4.84288e-08,-0.0112589,-1.49012e-08,0.999937,0.0299928,-0,0,-4.47035e-08,-0.359682,2.98023e-08,0.933075,0.0252377,-0,0,0,0,0,1
31,1765888720210,0.0241747,0.0172301,-0.00417916,0.902517,0.155606,-0.158411,-0.368993,0.0419862,-0,0,-2.6077e-08,-0.0138066,2.23517e-08,0.999905,0.0299928,-0,0,-1.08033e-07,-0.274227,-2.23517e-08,0.961665,0.0252377,-0,0,0,0,0,1
32,1765888720243,0.0241747,0.0172301,-0.00417916,0.942519,0.0650841,-0.159332,-0.286418,0.0419862,-0,0,1.67638e-08,-0.0104631,3.72529e-08,0.999945,0.0299928,-0,0,-5.58794e-08,-0.163846,-2.23517e-08,0.986486,0.0252377,-0,0,0,0,0,1
33,1765888720276,0.0241747,0.0172301,-0.00417916,0.954581,-0.0498914,-0.157619,-0.247876,0.0419862,-0,0,-6.0536e-08,-0.00482292,-7.45058e-09,0.999988,0.0299928,-0,0,9.31323e-09,-0.0752388,0,0.997166,0.0252377,-0,0,0,0,0,1
34,1765888720310,0.0241747,0.0172301,-0.00417916,0.947881,-0.146709,-0.147963,-0.241049,0.0419862,-0,0,-5.96047e-08,9.7394e-05,8.9407e-08,1,0.0299928,-0,0,9.31323e-08,0.010306,-1.3411e-07,0.999947,0.0252377,-0,0,0,0,0,1
