frame,timestamp,CMC_pos_x,CMC_pos_y,CMC_pos_z,CMC_rot_x,CMC_rot_y,CMC_rot_z,CMC_rot_w,MCP_pos_x,MCP_pos_y,MCP_pos_z,MCP_rot_x,MCP_rot_y,MCP_rot_z,MCP_rot_w,IP_pos_x,IP_pos_y,IP_pos_z,IP_rot_x,IP_rot_y,IP_rot_z,IP_rot_w,Tip_pos_x,Tip_pos_y,Tip_pos_z,Tip_rot_x,Tip_rot_y,Tip_rot_z,Tip_rot_w
1,1765954840731,0.0241747,0.0172301,-0.00417916,0.802121,0.170409,-0.160189,-0.549456,0.0419862,-0,0,3.35276e-08,-0.0064003,-2.98023e-08,0.999979,0.0299928,-0,0,7.07805e-08,-0.155328,5.21541e-08,0.987863,0.0252377,-0,0,0,0,0,1
2,1765954840764,0.0241747,0.0172301,-0.00417916,0.802434,0.170522,-0.160189,-0.548964,0.0419862,-0,0,5.96047e-08,-0.00640369,-5.96047e-08,0.999979,0.0299928,-0,0,-3.72529e-08,-0.153803,5.21541e-08,0.988101,0.0252377,-0,0,0,0,0,1
3,1765954840797,0.0241747,0.0172301,-0.00417916,0.802449,0.17037,-0.160225,-0.548978,0.0419862,-0,0,-1.9744e-07,-0.00647403,7.45058e-08,0.999979,0.0299928,-0,0,1.19209e-07,-0.15599,-8.9407e-08,0.987759,0.0252377,-0,0,0,0,0,1
4,1765954840831,0.0241747,0.0172301,-0.00417916,0.802645,0.170501,-0.160281,-0.548635,0.0419862,-0,0,-1.86265e-07,-0.00639428,4.47035e-08,0.99998,0.0299928,-0,0,-4.09782e-08,-0.154399,8.9407e-08,0.988008,0.0252377,-0,0,0,0,0,1
5,1765954840864,0.0241747,0.0172301,-0.00417916,0.80356,0.170677,-0.159753,-0.547393,0.0419862,-0,0,-5.96046e-08,-0.00644429,2.98023e-08,0.999979,0.0299928,-0,0,5.58794e-08,-0.155729,-4.47035e-08,0.9878,0.0252377,-0,0,0,0,0,1
6,1765954840897,0.0241747,0.0172301,-0.00417916,0.802987,0.17036,-0.159958,-0.548272,0.0419862,-0,0,-1.71363e-07,-0.00651839,4.47035e-08,0.999979,0.0299928,-0,0,9.68575e-08,-0.157229,-5.21541e-08,0.987562,0.0252377,-0,0,0,0,0,1
7,1765954840930,0.0241747,0.0172301,-0.00417916,0.80283,0.170431,-0.160331,-0.548371,0.0419862,-0,0,1.15484e-07,-0.00625353,-2.98023e-08,0.99998,0.0299928,-0,0,-6.33299e-08,-0.154838,9.68575e-08,0.98794,0.0252377,-0,0,0,0,0,1
8,1765954840964,0.0241747,0.0172301,-0.00417916,0.803024,0.17047,-0.160296,-0.548086,0.0419862,-0,0,-2.42144e-08,-0.00638966,-1.49012e-08,0.99998,0.0299928,-0,0,3.35276e-08,-0.15487,8.9407e-08,0.987935,0.0252377,-0,0,0,0,0,1
9,1765954840997,0.0241747,0.0172301,-0.00417916,0.802386,0.17027,-0.160826,-0.548925,0.0419862,-0,0,6.51926e-08,-0.0062639,-5.96047e-08,0.99998,0.0299928,-0,0,2.98023e-08,-0.153962,6.70552e-08,0.988077,0.0252377,-0,0,0,0,0,1
10,1765954841030,0.0241747,0.0172301,-0.00417916,0.802306,0.170109,-0.160684,-0.549135,0.0419862,-0,0,-7.26432e-08,-0.00642101,1.49012e-08,0.999979,0.0299928,-0,0,7.45058e-09,-0.155615,7.45058e-09,0.987818,0.0252377,-0,0,0,0,0,1
